Timestamp,Data
2025-02-22 15:14:51,Hello
2025-02-22 15:14:52,Reset.
2025-02-22 15:14:52,Applying settings.
2025-02-22 15:14:52,Accelerometer: X: -426.39 Y: 486.78 Z: -267.42
2025-02-22 15:14:53,Gyroscope: X: -9870.00 Y: 9835.00 Z: 245.00
2025-02-22 15:14:53,934
2025-02-22 15:14:53,Accelerometer: X: 40.26 Y: -26.11 Z: 1019.80
2025-02-22 15:14:53,Gyroscope: X: 367.50 Y: -245.00 Z: 192.50
2025-02-22 15:14:54,933
2025-02-22 15:14:54,Accelerometer: X: 40.02 Y: -26.35 Z: 1020.41
2025-02-22 15:14:54,Gyroscope: X: 385.00 Y: -315.00 Z: 192.50
2025-02-22 15:14:54,933
2025-02-22 15:14:55,Accelerometer: X: 40.02 Y: -26.60 Z: 1020.41
2025-02-22 15:14:55,Gyroscope: X: 472.50 Y: -315.00 Z: 245.00
2025-02-22 15:14:55,24
2025-02-22 15:14:56,Accelerometer: X: 40.26 Y: -26.60 Z: 1020.41
2025-02-22 15:14:56,Gyroscope: X: 437.50 Y: -227.50 Z: 210.00
2025-02-22 15:14:56,24
2025-02-22 15:14:57,Accelerometer: X: 39.89 Y: -26.35 Z: 1020.53
2025-02-22 15:14:57,Gyroscope: X: 577.50 Y: -297.50 Z: 280.00
2025-02-22 15:14:57,23
2025-02-22 15:14:58,Accelerometer: X: 39.77 Y: -26.72 Z: 1020.29
2025-02-22 15:14:58,Gyroscope: X: 402.50 Y: -280.00 Z: 245.00
2025-02-22 15:14:58,23
2025-02-22 15:14:59,Accelerometer: X: 39.89 Y: -26.60 Z: 1020.41
2025-02-22 15:14:59,Gyroscope: X: 542.50 Y: -280.00 Z: 227.50
2025-02-22 15:14:59,236
2025-02-22 15:15:00,Accelerometer: X: 39.89 Y: -26.35 Z: 1020.53
2025-02-22 15:15:00,Gyroscope: X: 525.00 Y: -297.50 Z: 192.50
2025-02-22 15:15:00,934
2025-02-22 15:15:01,Accelerometer: X: 58.93 Y: -41.24 Z: 1022.12
2025-02-22 15:15:01,Gyroscope: X: 15680.00 Y: -1417.50 Z: -17727.50
2025-02-22 15:15:01,933
2025-02-22 15:15:02,Accelerometer: X: 356.12 Y: -562.91 Z: 729.93
2025-02-22 15:15:02,Gyroscope: X: 38622.50 Y: -60217.50 Z: 45780.00
2025-02-22 15:15:02,28
2025-02-22 15:15:03,Accelerometer: X: 43.07 Y: 247.54 Z: 931.96
2025-02-22 15:15:03,Gyroscope: X: 17482.50 Y: 14437.50 Z: -23555.00
2025-02-22 15:15:03,23
2025-02-22 15:15:04,Accelerometer: X: 514.84 Y: -260.10 Z: -331.96
2025-02-22 15:15:04,Gyroscope: X: 10325.00 Y: -33582.50 Z: -5740.00
2025-02-22 15:15:04,23
2025-02-22 15:15:05,Accelerometer: X: -28.18 Y: -70.88 Z: -956.11
2025-02-22 15:15:05,Gyroscope: X: -31640.00 Y: 16397.50 Z: -4672.50
2025-02-22 15:15:05,23
2025-02-22 15:15:06,Accelerometer: X: 228.02 Y: -168.24 Z: -862.30
2025-02-22 15:15:06,Gyroscope: X: -42805.00 Y: -15557.50 Z: -9502.50
2025-02-22 15:15:06,23
2025-02-22 15:15:07,Accelerometer: X: 766.53 Y: -639.04 Z: 57.95
2025-02-22 15:15:07,Gyroscope: X: 48790.00 Y: 42297.50 Z: 62090.00
2025-02-22 15:15:08,23
2025-02-22 15:15:08,Accelerometer: X: 377.71 Y: -54.41 Z: 929.15
2025-02-22 15:15:08,Gyroscope: X: 297.50 Y: 6492.50 Z: 192.50
2025-02-22 15:15:09,23
2025-02-22 15:15:09,Accelerometer: X: 315.00 Y: -25.01 Z: 971.49
2025-02-22 15:15:10,Gyroscope: X: 367.50 Y: 1382.50 Z: 210.00
2025-02-22 15:15:10,934
2025-02-22 15:15:10,Accelerometer: X: 292.07 Y: -25.50 Z: 978.68
2025-02-22 15:15:11,Gyroscope: X: 455.00 Y: 1452.50 Z: 210.00
2025-02-22 15:15:11,934
2025-02-22 15:15:11,Accelerometer: X: 278.89 Y: -25.74 Z: 982.71
2025-02-22 15:15:12,Gyroscope: X: 490.00 Y: 402.50 Z: 262.50
2025-02-22 15:15:12,934
2025-02-22 15:15:13,Accelerometer: X: 270.60 Y: -25.86 Z: 984.91
2025-02-22 15:15:13,Gyroscope: X: 472.50 Y: -122.50 Z: 262.50
2025-02-22 15:15:13,934
2025-02-22 15:15:14,Accelerometer: X: 264.98 Y: -25.74 Z: 986.61
2025-02-22 15:15:14,Gyroscope: X: 560.00 Y: -805.00 Z: 122.50
2025-02-22 15:15:14,933
2025-02-22 15:15:15,Accelerometer: X: 73.93 Y: -132.13 Z: 1214.14
