Timestamp,Data
2025-02-22 15:59:15,Hello
2025-02-22 15:59:15,Reset.
2025-02-22 15:59:16,Applying settings.
2025-02-22 15:59:16,Accelerometer: X: -823.62 Y: -3.78 Z: 936.11
2025-02-22 15:59:16,Gyroscope: X: 8995.00 Y: -7280.00 Z: 122.50
2025-02-22 15:59:17,422
2025-02-22 15:59:17,Accelerometer: X: -1001.86 Y: -72.71 Z: 64.42
2025-02-22 15:59:17,Gyroscope: X: 367.50 Y: -350.00 Z: 140.00
2025-02-22 15:59:17,359
2025-02-22 15:59:18,Accelerometer: X: -1002.47 Y: -73.57 Z: 65.27
2025-02-22 15:59:18,Gyroscope: X: 385.00 Y: -385.00 Z: 192.50
2025-02-22 15:59:18,352
2025-02-22 15:59:19,Accelerometer: X: -1002.35 Y: -73.44 Z: 64.42
2025-02-22 15:59:19,Gyroscope: X: 122.50 Y: -420.00 Z: 280.00
2025-02-22 15:59:19,346
2025-02-22 15:59:19,Accelerometer: X: -1002.35 Y: -74.42 Z: 65.15
2025-02-22 15:59:20,Gyroscope: X: 350.00 Y: -315.00 Z: 157.50
2025-02-22 15:59:20,341
2025-02-22 15:59:20,Accelerometer: X: -1002.60 Y: -68.08 Z: 65.03
2025-02-22 15:59:21,Gyroscope: X: 350.00 Y: -350.00 Z: 140.00
2025-02-22 15:59:21,339
2025-02-22 15:59:22,Accelerometer: X: -1003.57 Y: -48.07 Z: 64.29
2025-02-22 15:59:22,Gyroscope: X: 6020.00 Y: -210.00 Z: -420.00
2025-02-22 15:59:22,333
2025-02-22 15:59:23,Accelerometer: X: -1002.47 Y: -72.96 Z: 64.78
2025-02-22 15:59:23,Gyroscope: X: 385.00 Y: -332.50 Z: 140.00
2025-02-22 15:59:23,334
2025-02-22 15:59:23,Accelerometer: X: -1002.84 Y: -72.71 Z: 64.42
2025-02-22 15:59:24,Gyroscope: X: 437.50 Y: -350.00 Z: 105.00
2025-02-22 15:59:24,333
2025-02-22 15:59:25,Accelerometer: X: -1002.47 Y: -72.96 Z: 65.39
2025-02-22 15:59:25,Gyroscope: X: 350.00 Y: -262.50 Z: 210.00
2025-02-22 15:59:25,337
2025-02-22 15:59:26,Accelerometer: X: -1002.84 Y: -71.98 Z: 64.29
2025-02-22 15:59:26,Gyroscope: X: 315.00 Y: -315.00 Z: 35.00
2025-02-22 15:59:26,338
2025-02-22 15:59:27,Accelerometer: X: -1002.35 Y: -75.40 Z: 65.15
2025-02-22 15:59:27,Gyroscope: X: 402.50 Y: -262.50 Z: 140.00
2025-02-22 15:59:27,340
2025-02-22 15:59:28,Accelerometer: X: -1003.33 Y: -52.34 Z: 66.12
2025-02-22 15:59:28,Gyroscope: X: 1802.50 Y: -402.50 Z: -52.50
2025-02-22 15:59:28,338
2025-02-22 15:59:29,Accelerometer: X: -1003.33 Y: -35.14 Z: 73.32
2025-02-22 15:59:29,Gyroscope: X: 22417.50 Y: 122.50 Z: -1365.00
2025-02-22 15:59:29,330
2025-02-22 15:59:30,Accelerometer: X: -1002.60 Y: -72.96 Z: 64.66
